Product_Name,Product_Link,Product_Price
"Motorola Edge 40 Neo (Peach Fuzz, 256 GB)",https://www.flipkart.com/motorola-edge-40-neo-peach-fuzz-256-gb/p/itmac1703bd2f7e1?pid=MOBGW6JJQK8ZTENA&lid=LSTMOBGW6JJQK8ZTENAEWWIIG&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_31&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGW6JJQK8ZTENA.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹24,999
₹29,99916% off"
"Motorola Edge 40 Neo (Caneel Bay, 256 GB)",https://www.flipkart.com/motorola-edge-40-neo-caneel-bay-256-gb/p/itm55813a9671489?pid=MOBGQFX6APUFAPMS&lid=LSTMOBGQFX6APUFAPMSU240FX&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_32&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGQFX6APUFAPMS.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹24,999
₹29,99916% off"
"Motorola Edge 40 Neo (Black Beauty, 128 GB)",https://www.flipkart.com/motorola-edge-40-neo-black-beauty-128-gb/p/itm01cc46d96a79f?pid=MOBGQFX6JGTWFSGD&lid=LSTMOBGQFX6JGTWFSGDTXTCZS&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_33&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGQFX6JGTWFSGD.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹22,999
₹27,99917% off"
"Motorola Edge 40 Neo (Soothing Sea, 128 GB)",https://www.flipkart.com/motorola-edge-40-neo-soothing-sea-128-gb/p/itmcfb87467e7d9a?pid=MOBGQFX6AG2JD2XT&lid=LSTMOBGQFX6AG2JD2XTMNTYDO&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_34&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGQFX6AG2JD2XT.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹22,999
₹27,99917% off"
"Motorola Edge 40 Neo (Caneel Bay, 128 GB)",https://www.flipkart.com/motorola-edge-40-neo-caneel-bay-128-gb/p/itm122f351a3a2a3?pid=MOBGQFX6K7YQJRSY&lid=LSTMOBGQFX6K7YQJRSY4YPKSE&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_35&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGQFX6K7YQJRSY.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹22,999
₹27,99917% off"
"Motorola Edge 40 Neo (Black Beauty, 256 GB)",https://www.flipkart.com/motorola-edge-40-neo-black-beauty-256-gb/p/itmd1cc863c7e37a?pid=MOBGQFX6FXEZ3GCE&lid=LSTMOBGQFX6FXEZ3GCEQGSJBA&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_36&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGQFX6FXEZ3GCE.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹24,999
₹29,99916% off"
"Motorola Edge 40 (Viva Magenta, 256 GB)",https://www.flipkart.com/motorola-edge-40-viva-magenta-256-gb/p/itm05e373bd204cb?pid=MOBGPJZABN3GPDZ7&lid=LSTMOBGPJZABN3GPDZ7NLCAGR&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_37&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGPJZABN3GPDZ7.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹26,999
₹34,99922% off"
"Motorola g73 5G (Lucent White, 128 GB)",https://www.flipkart.com/motorola-g73-5g-lucent-white-128-gb/p/itm372a03ce2292a?pid=MOBGKHNB3VDGJFVZ&lid=LSTMOBGKHNB3VDGJFVZ5BN2AF&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_38&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGKHNB3VDGJFVZ.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹21,999"
"Motorola g73 5G (Midnight Blue, 128 GB)",https://www.flipkart.com/motorola-g73-5g-midnight-blue-128-gb/p/itm0e1cfbbce3e09?pid=MOBGKHNBYHG9SBGG&lid=LSTMOBGKHNBYHG9SBGG0JZZTB&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_39&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGKHNBYHG9SBGG.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹21,999"
"Motorola Edge 40 (Nebula Green, 256 GB)",https://www.flipkart.com/motorola-edge-40-nebula-green-256-gb/p/itmaa0bf9c327a2b?pid=MOBGKHNBTVZZU8PH&lid=LSTMOBGKHNBTVZZU8PHORDDSI&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_40&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGKHNBTVZZU8PH.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹26,999
₹34,99922% off"
"Motorola Edge 30 Fusion (Cosmic grey, 128 GB)",https://www.flipkart.com/motorola-edge-30-fusion-cosmic-grey-128-gb/p/itmcc103ec39dbdf?pid=MOBGFGM2XEFCJYQF&lid=LSTMOBGFGM2XEFCJYQFLXCJS0&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_41&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGFGM2XEFCJYQF.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹42,999
₹49,99914% off"
"Motorola Edge 30 Fusion (Solar Gold, 128 GB)",https://www.flipkart.com/motorola-edge-30-fusion-solar-gold-128-gb/p/itm68ac494d3a503?pid=MOBGFGM2RYYQQASG&lid=LSTMOBGFGM2RYYQQASGDTY3A2&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_42&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGFGM2RYYQQASG.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹42,999
₹49,99914% off"
"Motorola G62 5G (Midnight Gray, 128 GB)",https://www.flipkart.com/motorola-g62-5g-midnight-gray-128-gb/p/itm88e51821facb9?pid=MOBGEDT83FAAATHZ&lid=LSTMOBGEDT83FAAATHZ8JYKY4&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_43&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGEDT83FAAATHZ.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹24,999"
"Motorola G62 5G (Midnight Gray, 128 GB)",https://www.flipkart.com/motorola-g62-5g-midnight-gray-128-gb/p/itm37da299ffb2d0?pid=MOBGEDT5ZZMZQZSJ&lid=LSTMOBGEDT5ZZMZQZSJJDYCEV&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_44&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGEDT5ZZMZQZSJ.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹21,999"
"Motorola edge 30 (Meteor Grey, 128 GB)",https://www.flipkart.com/motorola-edge-30-meteor-grey-128-gb/p/itma02c4f5bca2df?pid=MOBGDCYGCZCYGYYZ&lid=LSTMOBGDCYGCZCYGYYZTZYCXF&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_45&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGDCYGCZCYGYYZ.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹30,999"
"Motorola G62 5G (Frosted Blue, 128 GB)",https://www.flipkart.com/motorola-g62-5g-frosted-blue-128-gb/p/itm556a0153d9a10?pid=MOBGEDT5YQ2YFVTQ&lid=LSTMOBGEDT5YQ2YFVTQSABOQS&marketplace=FLIPKART&q=motorola+mobile&store=tyy%2F4io&srno=s_2_46&otracker=search&otracker1=search&fm=Search&iid=52360e85-3d76-4ef3-adb8-f54bfd97a62b.MOBGEDT5YQ2YFVTQ.SEARCH&ppt=sp&ppn=sp&ssid=dgmcqa56k00000001731655681258&qH=979dd593b8c05a74,"₹21,999"
